"filename", "language", "XML", "Log", "JSON", "Markdown", "C#", "comment", "blank", "total"
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\it\System.Collections.NonGeneric.xml", "XML", -1584, 0, 0, 0, 0, 0, 0, -1584
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\ja\System.Collections.NonGeneric.xml", "XML", -1878, 0, 0, 0, 0, 0, 0, -1878
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\ko\System.Collections.NonGeneric.xml", "XML", -1878, 0, 0, 0, 0, 0, 0, -1878
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\ru\System.Collections.NonGeneric.xml", "XML", -1515, 0, 0, 0, 0, 0, 0, -1515
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\zh-hans\System.Collections.NonGeneric.xml", "XML", -1626, 0, 0, 0, 0, 0, 0, -1626
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\zh-hant\System.Collections.NonGeneric.xml", "XML", -1639, 0, 0, 0, 0, 0, 0, -1639
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\AgentOverride2dEditor.cs", "C#", 0, 0, 0, 0, -18, -8, -4, -30
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\CollectSources2dEditor.cs", "C#", 0, 0, 0, 0, -74, 0, -9, -83
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\CollectSourcesCache2dEditor.cs", "C#", 0, 0, 0, 0, -35, 0, -6, -41
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshAgentAttributePropertyDrawer.cs", "C#", 0, 0, 0, 0, -15, -3, -4, -22
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshAreaAttributePropertyDrawer.cs", "C#", 0, 0, 0, 0, -15, -3, -3, -21
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshAssetManager.cs", "C#", 0, 0, 0, 0, -267, -12, -56, -335
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshComponentsEditor.asmdef", "JSON", 0, 0, -16, 0, 0, 0, 0, -16
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshComponentsGUIUtility.cs", "C#", 0, 0, 0, 0, -226, -8, -43, -277
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshLinkEditor.cs", "C#", 0, 0, 0, 0, -224, -1, -55, -280
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshModifierEditor.cs", "C#", 0, 0, 0, 0, -35, 0, -12, -47
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshModifierTilemapEditor.cs", "C#", 0, 0, 0, 0, -167, -4, -28, -199
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshModifierVolumeEditor.cs", "C#", 0, 0, 0, 0, -110, 0, -28, -138
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\NavMeshSurfaceEditor.cs", "C#", 0, 0, 0, 0, -350, -9, -70, -429
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Editor\RootSources2dEditor.cs", "C#", 0, 0, 0, 0, -29, 0, -8, -37
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\AgentOverride2d.cs", "C#", 0, 0, 0, 0, -33, 0, -4, -37
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\AgentRotate2d.cs", "C#", 0, 0, 0, 0, -13, 0, -3, -16
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\AgentRotateSmooth2d.cs", "C#", 0, 0, 0, 0, -14, 0, -3, -17
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\CollectSources2d.cs", "C#", 0, 0, 0, 0, -83, 0, -8, -91
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\CollectSourcesCache2d.cs", "C#", 0, 0, 0, 0, -105, 0, -11, -116
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\CollectTilemapSourcesCache2d.cs", "C#", 0, 0, 0, 0, -86, 0, -10, -96
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshAgentAttribute.cs", "C#", 0, 0, 0, 0, -8, -3, -2, -13
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshAreaAttribute.cs", "C#", 0, 0, 0, 0, -8, -4, -2, -14
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshBuilder2d.cs", "C#", 0, 0, 0, 0, -355, -6, -38, -399
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshBuilderState.cs", "C#", 0, 0, 0, 0, -86, -10, -13, -109
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshComponents.asmdef", "JSON", 0, 0, -20, 0, 0, 0, 0, -20
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshExtension.cs", "C#", 0, 0, 0, 0, -56, 0, -3, -59
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshExtensionsProvider.cs", "C#", 0, 0, 0, 0, -51, 0, -7, -58
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshLink.cs", "C#", 0, 0, 0, 0, -145, 0, -31, -176
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshModifier.cs", "C#", 0, 0, 0, 0, -45, -2, -10, -57
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshModifierTilemap.cs", "C#", 0, 0, 0, 0, -67, -5, -12, -84
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshModifierVolume.cs", "C#", 0, 0, 0, 0, -45, -2, -10, -57
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\NavMeshSurface.cs", "C#", 0, 0, 0, 0, -457, -24, -71, -552
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\RootSources2d.cs", "C#", 0, 0, 0, 0, -28, 0, -5, -33
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\RotateAgentInstantly.cs", "C#", 0, 0, 0, 0, -33, -3, -4, -40
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\NavMeshComponents\Scripts\RotateAgentSmoothly.cs", "C#", 0, 0, 0, 0, -49, -3, -5, -57
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\README.md", "Markdown", 0, 0, 0, -53, 0, 0, -18, -71
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\Unity\README.md", "Markdown", 0, 0, 0, -39, 0, 0, -22, -61
"d:\u3d项目\Neko Big War\Packages\com.h8man.2d.navmeshplus\package.json", "JSON", 0, 0, -10, 0, 0, 0, -3, -13
"d:\u3d项目\Neko Big War\Packages\manifest.json", "JSON", 0, 0, -46, 0, 0, 0, -1, -47
"d:\u3d项目\Neko Big War\Packages\packages-lock.json", "JSON", 0, 0, -528, 0, 0, 0, -1, -529
"d:\u3d项目\Neko Big War\PsdPlugin.csproj", "XML", -1028, 0, 0, 0, 0, -1, -1, -1030
"d:\u3d项目\Neko Big War\Unity.2D.Animation.Editor.csproj", "XML", -1189, 0, 0, 0, 0, -1, -1, -1191
"d:\u3d项目\Neko Big War\Unity.2D.Animation.Runtime.csproj", "XML", -978, 0, 0, 0, 0, -1, -1, -980
"d:\u3d项目\Neko Big War\Unity.2D.Common.Editor.csproj", "XML", -991, 0, 0, 0, 0, -1, -1, -993
"d:\u3d项目\Neko Big War\Unity.2D.Common.Runtime.csproj", "XML", -964, 0, 0, 0, 0, -1, -1, -966
"d:\u3d项目\Neko Big War\Unity.2D.IK.Editor.csproj", "XML", -996, 0, 0, 0, 0, -1, -1, -998
"d:\u3d项目\Neko Big War\Unity.2D.IK.Runtime.csproj", "XML", -969, 0, 0, 0, 0, -1, -1, -971
"d:\u3d项目\Neko Big War\Unity.2D.Path.Editor.csproj", "XML", -1030, 0, 0, 0, 0, -1, -1, -1032
"d:\u3d项目\Neko Big War\Unity.2D.PixelPerfect.Editor.csproj", "XML", -986, 0, 0, 0, 0, -1, -1, -988
"d:\u3d项目\Neko Big War\Unity.2D.PixelPerfect.csproj", "XML", -960, 0, 0, 0, 0, -1, -1, -962
"d:\u3d项目\Neko Big War\Unity.2D.Psdimporter.Editor.csproj", "XML", -1007, 0, 0, 0, 0, -1, -1, -1009
"d:\u3d项目\Neko Big War\Unity.2D.Sprite.Editor.csproj", "XML", -1021, 0, 0, 0, 0, -1, -1, -1023
"d:\u3d项目\Neko Big War\Unity.2D.SpriteShape.Editor.csproj", "XML", -1007, 0, 0, 0, 0, -1, -1, -1009
"d:\u3d项目\Neko Big War\Unity.2D.SpriteShape.Runtime.csproj", "XML", -976, 0, 0, 0, 0, -1, -1, -978
"d:\u3d项目\Neko Big War\Unity.2D.Tilemap.Editor.csproj", "XML", -1029, 0, 0, 0, 0, -1, -1, -1031
"d:\u3d项目\Neko Big War\Unity.2D.Tilemap.Extras.Editor.csproj", "XML", -996, 0, 0, 0, 0, -1, -1, -998
"d:\u3d项目\Neko Big War\Unity.2D.Tilemap.Extras.csproj", "XML", -963, 0, 0, 0, 0, -1, -1, -965
"d:\u3d项目\Neko Big War\Unity.Burst.CodeGen.csproj", "XML", -936, 0, 0, 0, 0, -1, -1, -938
"d:\u3d项目\Neko Big War\Unity.Burst.Editor.csproj", "XML", -995, 0, 0, 0, 0, -1, -1, -997
"d:\u3d项目\Neko Big War\Unity.Burst.csproj", "XML", -1008, 0, 0, 0, 0, -1, -1, -1010
"d:\u3d项目\Neko Big War\Unity.CollabProxy.Editor.csproj", "XML", -1127, 0, 0, 0, 0, -1, -1, -1129
"d:\u3d项目\Neko Big War\Unity.InternalAPIEditorBridge.001.csproj", "XML", -986, 0, 0, 0, 0, -1, -1, -988
"d:\u3d项目\Neko Big War\Unity.InternalAPIEngineBridge.001.csproj", "XML", -958, 0, 0, 0, 0, -1, -1, -960
"d:\u3d项目\Neko Big War\Unity.Mathematics.Editor.csproj", "XML", -987, 0, 0, 0, 0, -1, -1, -989
"d:\u3d项目\Neko Big War\Unity.Mathematics.csproj", "XML", -1045, 0, 0, 0, 0, -1, -1, -1047
"d:\u3d项目\Neko Big War\Unity.PlasticSCM.Editor.csproj", "XML", -1244, 0, 0, 0, 0, -1, -1, -1246
"d:\u3d项目\Neko Big War\Unity.RenderPipeline.Universal.ShaderLibrary.csproj", "XML", -1001, 0, 0, 0, 0, -1, -1, -1003
"d:\u3d项目\Neko Big War\Unity.RenderPipelines.Core.Editor.csproj", "XML", -1115, 0, 0, 0, 0, -1, -1, -1117
"d:\u3d项目\Neko Big War\Unity.RenderPipelines.Core.Runtime.csproj", "XML", -1101, 0, 0, 0, 0, -1, -1, -1103
"d:\u3d项目\Neko Big War\Unity.RenderPipelines.Core.ShaderLibrary.csproj", "XML", -1008, 0, 0, 0, 0, -1, -1, -1010
"d:\u3d项目\Neko Big War\Unity.RenderPipelines.ShaderGraph.ShaderGraphLibrary.csproj", "XML", -967, 0, 0, 0, 0, -1, -1, -969
"d:\u3d项目\Neko Big War\Unity.RenderPipelines.Universal.Editor.csproj", "XML", -1256, 0, 0, 0, 0, -1, -1, -1258
"d:\u3d项目\Neko Big War\Unity.RenderPipelines.Universal.Runtime.csproj", "XML", -1125, 0, 0, 0, 0, -1, -1, -1127
"d:\u3d项目\Neko Big War\Unity.RenderPipelines.Universal.Shaders.csproj", "XML", -1083, 0, 0, 0, 0, -1, -1, -1085
"d:\u3d项目\Neko Big War\Unity.Rider.Editor.csproj", "XML", -951, 0, 0, 0, 0, -1, -1, -953
"d:\u3d项目\Neko Big War\Unity.Searcher.Editor.csproj", "XML", -995, 0, 0, 0, 0, -1, -1, -997
"d:\u3d项目\Neko Big War\Unity.Services.Core.Analytics.csproj", "XML", -959, 0, 0, 0, 0, -1, -1, -961
"d:\u3d项目\Neko Big War\Unity.Services.Core.Configuration.Editor.csproj", "XML", -990, 0, 0, 0, 0, -1, -1, -992
"d:\u3d项目\Neko Big War\Unity.Services.Core.Configuration.csproj", "XML", -969, 0, 0, 0, 0, -1, -1, -971
"d:\u3d项目\Neko Big War\Unity.Services.Core.Device.csproj", "XML", -964, 0, 0, 0, 0, -1, -1, -966
"d:\u3d项目\Neko Big War\Unity.Services.Core.Editor.csproj", "XML", -1064, 0, 0, 0, 0, -1, -1, -1066
"d:\u3d项目\Neko Big War\Unity.Services.Core.Environments.Internal.csproj", "XML", -959, 0, 0, 0, 0, -1, -1, -961
"d:\u3d项目\Neko Big War\Unity.Services.Core.Environments.csproj", "XML", -960, 0, 0, 0, 0, -1, -1, -962
"d:\u3d项目\Neko Big War\Unity.Services.Core.Internal.csproj", "XML", -1020, 0, 0, 0, 0, -1, -1, -1022
"d:\u3d项目\Neko Big War\Unity.Services.Core.Networking.csproj", "XML", -961, 0, 0, 0, 0, -1, -1, -963
"d:\u3d项目\Neko Big War\Unity.Services.Core.Registration.csproj", "XML", -967, 0, 0, 0, 0, -1, -1, -969
"d:\u3d项目\Neko Big War\Unity.Services.Core.Scheduler.csproj", "XML", -963, 0, 0, 0, 0, -1, -1, -965
"d:\u3d项目\Neko Big War\Unity.Services.Core.Telemetry.csproj", "XML", -992, 0, 0, 0, 0, -1, -1, -994
"d:\u3d项目\Neko Big War\Unity.Services.Core.Threading.csproj", "XML", -960, 0, 0, 0, 0, -1, -1, -962
"d:\u3d项目\Neko Big War\Unity.Services.Core.csproj", "XML", -967, 0, 0, 0, 0, -1, -1, -969
"d:\u3d项目\Neko Big War\Unity.ShaderGraph.Editor.csproj", "XML", -1744, 0, 0, 0, 0, -1, -1, -1746
"d:\u3d项目\Neko Big War\Unity.ShaderGraph.Utilities.csproj", "XML", -986, 0, 0, 0, 0, -1, -1, -988
"d:\u3d项目\Neko Big War\Unity.TextMeshPro.Editor.csproj", "XML", -1031, 0, 0, 0, 0, -1, -1, -1033
"d:\u3d项目\Neko Big War\Unity.TextMeshPro.csproj", "XML", -1015, 0, 0, 0, 0, -1, -1, -1017
"d:\u3d项目\Neko Big War\Unity.Timeline.Editor.csproj", "XML", -1255, 0, 0, 0, 0, -1, -1, -1257
"d:\u3d项目\Neko Big War\Unity.Timeline.csproj", "XML", -1029, 0, 0, 0, 0, -1, -1, -1031
"d:\u3d项目\Neko Big War\Unity.VisualScripting.Core.Editor.csproj", "XML", -1455, 0, 0, 0, 0, -1, -1, -1457
"d:\u3d项目\Neko Big War\Unity.VisualScripting.Core.csproj", "XML", -1382, 0, 0, 0, 0, -1, -1, -1384
"d:\u3d项目\Neko Big War\Unity.VisualScripting.Flow.Editor.csproj", "XML", -1152, 0, 0, 0, 0, -1, -1, -1154
"d:\u3d项目\Neko Big War\Unity.VisualScripting.Flow.csproj", "XML", -1359, 0, 0, 0, 0, -1, -1, -1361
"d:\u3d项目\Neko Big War\Unity.VisualScripting.SettingsProvider.Editor.csproj", "XML", -996, 0, 0, 0, 0, -1, -1, -998
"d:\u3d项目\Neko Big War\Unity.VisualScripting.Shared.Editor.csproj", "XML", -989, 0, 0, 0, 0, -1, -1, -991
"d:\u3d项目\Neko Big War\Unity.VisualScripting.State.Editor.csproj", "XML", -1055, 0, 0, 0, 0, -1, -1, -1057
"d:\u3d项目\Neko Big War\Unity.VisualScripting.State.csproj", "XML", -989, 0, 0, 0, 0, -1, -1, -991
"d:\u3d项目\Neko Big War\Unity.VisualStudio.Editor.csproj", "XML", -966, 0, 0, 0, 0, -1, -1, -968
"d:\u3d项目\Neko Big War\UnityEditor.TestRunner.csproj", "XML", -1074, 0, 0, 0, 0, -1, -1, -1076
"d:\u3d项目\Neko Big War\UnityEditor.UI.csproj", "XML", -1018, 0, 0, 0, 0, -1, -1, -1020
"d:\u3d项目\Neko Big War\UnityEngine.TestRunner.csproj", "XML", -999, 0, 0, 0, 0, -1, -1, -1001
"d:\u3d项目\Neko Big War\UnityEngine.UI.csproj", "XML", -1041, 0, 0, 0, 0, -1, -1, -1043
"d:\u3d项目\Neko Big War\com.unity.cinemachine.editor.csproj", "XML", -1058, 0, 0, 0, 0, -1, -1, -1060
"Total", "-", -94786, -5218, -620, -92, -3332, -185, -794, -105027
